twelfth,month name,Year,moonsign,moon,sun,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,eris,,,,,
288,jan,2022,cap,15,12,0,22,0,0,0,0,0,25,0,,,,,
289,,2022,aquarius,1,0,0,0,0,0,12,0,0,0,0,,,,,
290,,2022,pisces,27,0,0,0,0,1,0,0,20,0,0,,,,,
291,,2022,aries,9,0,0,0,0,0,0,0,0,0,23,,,,,
292,,2022,taurus,28,0,0,0,0,0,0,10,0,0,0,,,,,
293,,2022,gemini,10,0,0,0,0,0,0,0,0,0,0,,,,,
294,,2022,cancer,27,0,0,0,0,0,0,0,0,0,0,,,,,
295,,2022,leo,10,0,0,0,0,0,0,0,0,0,0,,,,,
296,,2022,virgo,18,0,0,0,0,0,0,0,0,0,0,,,,,
297,,2022,libra,1,0,0,0,0,0,0,0,0,0,0,,,,,
298,,2022,scorpio,25,0,0,0,0,0,0,0,0,0,0,,,,,
299,,2022,sag,9,0,0,0,0,0,0,0,0,0,0,,,,,
300,,2022,cap,23,0,25,11,4,0,0,0,0,26,0,,,,,
301,feb,2022,aquarius,8,12,0,0,0,0,0,0,0,0,0,,,,,
302,,2022,pisces,21,0,0,0,0,7,0,0,21,0,0,,,,,
303,,2022,aries,5,0,0,0,0,0,0,0,0,0,23,,,,,
304,,2022,taurus,24,0,0,0,0,0,0,11,0,0,0,,,,,
305,,2022,gemini,6,0,0,0,0,0,0,0,0,0,0,,,,,
306,,2022,cancer,24,0,0,0,0,0,0,0,0,0,0,,,,,
307,,2022,leo,6,0,0,0,0,0,0,0,0,0,0,,,,,
308,,2022,virgo,27,0,0,0,0,0,0,0,0,0,0,,,,,
309,,2022,libra,11,0,0,0,0,0,0,0,0,0,0,,,,,
310,,2022,scorpio,22,0,0,0,0,0,0,0,0,0,0,,,,,
311,,2022,sag,6,0,0,0,0,0,0,0,0,0,0,,,,,
312,,2022,cap,18,0,0,24,24,0,0,0,0,27,0,,,,,
313,,2022,aquarius,3,0,15,0,0,0,18,0,0,0,0,,,,,
314,march,2022,pisces,29,13,0,0,0,14,0,0,22,0,0,,,,,
315,,2022,aries,12,0,0,0,0,0,0,0,0,0,23,,,,,
316,,2022,gemini,2,0,0,0,0,0,0,0,0,0,0,,,,,
317,,2022,cancer,8,0,0,0,0,0,0,0,0,0,0,,,,,
